MUN_LPI;latitude;longitude
BAEPENDI;-21.9575733;-44.8891463
JOANÓPOLIS;-22.930004;-46.275208
PERUÍBE;-24.3218105;-46.9977452
GUARUJÁ;-23.9927768;-46.2558332
SÃO CAETANO DO SUL;-23.6195923;-46.5688323
UBATUBA;-23.433162;-45.083415
MONTEIRO LOBATO;-22.9553542;-45.8387146
PIRANGUÇU;-22.5280226;-45.4961066
RESENDE;-22.4683626;-44.4463494
SÃO SEBASTIÃO;-23.8027866;-45.4070527
SÃO BENTO DO SAPUCAÍ;-22.6884605;-45.7329767
RIO BONITO;-22.7108378;-42.6271864
ANTÔNIO CARLOS;-21.318334;-43.746666
TAUBATÉ;-23.031448;-45.5612792
CACHOEIRA PAULISTA;-22.6605578;-45.0081689
TAMBAÚ;-21.70292;-47.270344
IGARATÁ;-23.2063475;-46.156934
PETRÓPOLIS;-22.5075743;-43.1785356
ITATIAIA;-22.4955278;-44.5633108
CARAGUATATUBA;-23.62028;-45.41306
ELDORADO;-24.522583;-48.1093489
JACUPIRANGA;-24.6945594;-48.0024027
IPORANGA;-24.5843214;-48.594028
SERRA NEGRA;-22.6126459;-46.699986
SETE BARRAS;-24.3878438;-47.9265798
CANANÉIA;-25.0104609;-47.9315628
RIBEIRA;-24.6577435;-49.0086372
MORRETES;-25.4768503;-48.8322501
JOINVILLE;-26.3044898;-48.8486726
ANAPU;-3.4668292;-51.2057035
ITAIÓPOLIS;-26.3391899;-49.9071983
SANTARÉM;-2.438489;-54.699611
ACRELÂNDIA;-10.0759167;-67.0526898
CAMBORIÚ;-27.0273601;-48.6535657
INDAIAL;-26.8901747;-49.2416736
ÁGUAS MORNAS;-27.696316;-48.8247831
SÃO BONIFÁCIO;-27.900907;-48.932608
BLUMENAU;-26.9195567;-49.0658025
OEIRAS DO PARÁ;-2.0040813;-49.8596065
SÃO SALVADOR DO TOCANTINS;-12.7503331;-48.2352148
SÃO SEBASTIÃO DA GRAMA;-21.7118854;-46.8284162
RORAINÓPOLIS;0.9387308;-60.4236464
MONTE SIÃO;-22.432778;-46.572778
SOCORRO;-22.5902619;-46.5249112
TUIUTI;-22.819324;-46.6937627
CAMPINAS;-22.9056391;-47.059564
BROTAS;-22.2840884;-48.1267265
CAÇAPAVA;-23.099204;-45.707645
ÁGUAS DE SÃO PEDRO;-22.6000681;-47.8750887
PEDREIRA;-22.741347;-46.894846
POUSO ALEGRE;-22.2343858;-45.9327241
VARGEM;-22.8902379;-46.4145366
EXTREMA;-22.8548355;-46.3184553
SOLEDADE DE MINAS;-22.0607267;-45.044957
MONTE DO CARMO;-10.7647456;-48.1121813
ITIRAPINA;-22.2536514;-47.8212546
PEDRA BELA;-22.7950193;-46.4431811
MARIA DA FÉ;-22.3081652;-45.3752771
PARAIBUNA;-23.3864203;-45.6626797
MARILÂNDIA;-19.4117824;-40.5442916
PACARAIMA;4.4787884;-61.1389799
TABATINGA;-4.2327349;-69.9263372
MANAUS;-3.1316333;-59.9825041
GURUPÁ;-1.406325;-51.6427456
PEDRO AFONSO;-8.9757351;-48.1733282
BOCA DO ACRE;-8.7553487;-67.3930873
PARANÃ;-12.616747;-47.873378
COLINAS DO SUL;-14.1555935;-48.0729958
CAVALCANTE;-13.7928414;-47.4568521
MARA ROSA;-14.0148159;-49.1776521
QUERÊNCIA;-12.5944625;-52.2088505
TERESINA DE GOIÁS;-13.7789573;-47.266894
FLORES DE GOIÁS;-14.4580291;-47.0395396
PORTO DOS GAÚCHOS;-11.532999;-57.413233
NOVO BRASIL;-16.0337152;-50.7112124
JARAGUÁ;-15.7528866;-49.3344033
CORUMBÁ DE GOIÁS;-15.9268355;-48.8074659
